question_type,q_level,actual_word,options,data
audio_word,University,اعتبار,"['اعتبر', 'اغتبار', 'اعنبار']",https://docs.google.com/uc?export=download&id=1qU_3p6xO8H3-8krYhQZQIynYeu7QRYcC
audio_word,University,متبسم,"['مبتسم', 'منبسم', 'مبسم']",https://docs.google.com/uc?export=download&id=1qRtWPLbfy31y01E3qWGd85nsQuOlb-cQ
audio_word,University,مصیبت,"['مصبت', 'مضیبت', 'مسیبت']",https://docs.google.com/uc?export=download&id=1qRgxOe4RndBNDGpsJkoBRr2OyDJw4uGO
audio_word,University,رقابت,"['رفابت', 'رقبت', 'رکابت']",https://docs.google.com/uc?export=download&id=1qR2U-GcbQ--3ZR1-hX99r_P7-ub4gBrn
audio_word,University,عرفان,"['عرقان', 'عرفن', 'ارفان']",https://docs.google.com/uc?export=download&id=1qPh0Cveob6yyBvetLUTzHR0OaBcYqOri
audio_word,University,مطلع,"['مظلع', 'متلا', 'مطلغ']",https://docs.google.com/uc?export=download&id=1qJsc5PdTZlDC4t6oeiwR4knNNYH8KiOf
audio_word,University,قلاش,"['فلاش', 'کلاش', 'قلش']",https://docs.google.com/uc?export=download&id=1qHcLyd2T3XTLuLE0alThouq5Ym2f8UjZ
audio_word,college,تفصیل,"['تقصیل', 'تفسیل', 'تفصل']",https://docs.google.com/uc?export=download&id=1qGPEzrsHD0NNmcVpaZ43C7YWcG6FdWxM
audio_word,college,مشتاق,"['متشاق', 'مشتاک', 'مشتق']",https://docs.google.com/uc?export=download&id=1qFHyxJRbOlyfe2ehrNB1JtW9u_xaQkha
audio_word,college,مستغرق,"['مستعرق', 'متسغرق', 'مستگرک']",https://docs.google.com/uc?export=download&id=1qD1Yn54dSFHhGZGAdmqQyvVLubrrHZGK
audio_word,college,قباحت,"['فباحت', 'قباخت', 'کباحت']",https://docs.google.com/uc?export=download&id=1qCr6H9nBjYpQWcOc00CX-s7bWH4H3vzL
audio_word,college,خلش,"['حلش', 'خالش', 'خلس']",https://docs.google.com/uc?export=download&id=1q6ov34dtCDIW2COsXMQ1sbAsmL-7kz-H
audio_word,college,انفرادی,"['انقرادی', 'انفردی', 'افنرادی']",https://docs.google.com/uc?export=download&id=1q3pqOBOBa_GOPQMtCnZn-1gj6uBd37BG
